member_id,created_at,deleted_at,modified_at,address,description,email,name,password,phone_number,point,recommend_member,username,member_premium_class
1,2021-01-23 19:54:03,2021-04-09 02:13:37,2021-01-11 06:35:01,78 Loeprich Drive,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",nvaen0@behance.net,Vaen,5cc2ZXV1iiz,895-781-8110,1071,mvaen0,tvaen0,BASIC
2,2021-08-10 00:28:10,2021-04-16 21:10:23,2021-09-10 21:17:27,1787 Merry Street,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",jdonaghy1@arizona.edu,Donaghy,hUlKPHaN,894-960-8729,9839,vdonaghy1,sdonaghy1,BASIC
3,2021-06-14 14:24:44,2021-05-12 22:16:04,2021-05-18 00:44:31,5954 Blackbird Drive,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",larnoll2@amazonaws.com,Arnoll,D07KbMqPg,929-831-5020,3522,karnoll2,farnoll2,GOLD
4,2021-04-25 02:09:10,2021-08-23 17:34:39,2021-05-29 19:24:59,54159 Scott Pass,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",jgouny3@chronoengine.com,Gouny,5vFzmWT,703-645-1613,226,lgouny3,cgouny3,GOLD
5,2021-01-29 08:54:19,2021-05-28 23:05:53,2021-07-30 12:37:19,246 Erie Circle,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,clindl4@pcworld.com,Lindl,s6jLT8EIdmD,727-156-5284,6621,slindl4,clindl4,BASIC
6,2021-01-11 00:06:38,2021-02-12 14:23:50,2021-07-11 13:56:04,75944 Anhalt Terrace,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",rsainz5@domainmarket.com,Sainz,deFvUhobmKM3,314-783-3072,4025,msainz5,rsainz5,BASIC
7,2021-02-24 23:43:41,2021-09-15 01:43:52,2021-05-23 19:06:56,5752 Alpine Alley,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",pbush6@nps.gov,Bush,6u7EtDAg,483-714-6629,7142,ibush6,mbush6,GOLD
8,2021-01-27 21:00:28,2021-06-21 18:27:44,2021-04-13 20:35:10,474 Meadow Ridge Avenue,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",rgadd7@github.com,Gadd,PdwtbcliO26,912-538-0073,2894,egadd7,igadd7,PLATINUM
9,2021-06-15 03:17:09,2021-09-17 19:07:38,2021-04-19 09:37:32,86004 Novick Plaza,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",aseldon8@myspace.com,Seldon,dPxMu1vKQ5D,534-749-8384,4148,aseldon8,gseldon8,GOLD
10,2021-01-12 09:52:26,2021-06-12 21:35:12,2021-01-08 02:09:52,63215 Maple Wood Junction,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",klaughren9@jugem.jp,Laughren,DMoq5iLzX,945-367-9230,3008,slaughren9,plaughren9,GOLD
